Date Time,Sample Name,Count Type,Cell Count,Dilution Factor,Concentration,Result Type,Result,Mean Diameter (microns),Assay Type,Cell Type,Instrument,User
,,,,,,,,,,,,
 05/03/2023 08:27:14, 20230503_ON_01, Total,2179,2,7.56E+06, , ,7.8, PBMC, , VisionLB-004-1099, 
 , , F1,1995, ,6.92E+06, Viability,91.50%,7.7, , PBMC (AO), , 
 , , F2,184, ,6.42E+05, , ,9.7, , PBMC  (PI), , 
 , , , , , , , , , , , , 
 05/03/2023 08:30:27, 20230503_ON_02, Total,1451,2,5.04E+06, , ,8, PBMC, , VisionLB-004-1099, 
 , , F1,1267, ,4.39E+06, Viability,87.20%,7.7, , PBMC (AO), , 
 , , F2,184, ,6.43E+05, , ,10, , PBMC  (PI), , 
 , , , , , , , , , , , , 
 05/03/2023 08:32:50, 20230503_ON_03, Total,1915,2,6.65E+06, , ,7.9, PBMC, , VisionLB-004-1099, 
 , , F1,1724, ,5.98E+06, Viability,90.00%,7.7, , PBMC (AO), , 
 , , F2,191, ,6.67E+05, , ,10.1, , PBMC  (PI), , 
 , , , , , , , , , , , , 
 05/03/2023 08:34:46, 20230503_ON_04, Total,1673,2,5.80E+06, , ,7.8, PBMC, , VisionLB-004-1099, 
 , , F1,1513, ,5.24E+06, Viability,90.40%,7.5, , PBMC (AO), , 
 , , F2,160, ,5.59E+05, , ,10.3, , PBMC  (PI), , 
 , , , , , , , , , , , , 
 05/03/2023 08:36:37, 20230503_ON_05, Total,558,2,1.94E+06, , ,8.1, PBMC, , VisionLB-004-1099, 
 , , F1,482, ,1.67E+06, Viability,86.30%,7.9, , PBMC (AO), , 
 , , F2,76, ,2.65E+05, , ,9.1, , PBMC  (PI), , 
 , , , , , , , , , , , , 
 05/03/2023 08:38:51, 20230503_ON_06, Total,632,2,2.19E+06, , ,8.1, PBMC, , VisionLB-004-1099, 
 , , F1,555, ,1.93E+06, Viability,87.70%,7.8, , PBMC (AO), , 
 , , F2,77, ,2.69E+05, , ,10, , PBMC  (PI), , 
 , , , , , , , , , , , , 
 05/03/2023 08:41:00, 20230503_ON_07, Total,1169,2,4.05E+06, , ,7.5, PBMC, , VisionLB-004-1099, 
 , , F1,1053, ,3.65E+06, Viability,90.00%,7.3, , PBMC (AO), , 
 , , F2,116, ,4.05E+05, , ,9.6, , PBMC  (PI), , 
 , , , , , , , , , , , , 
 05/03/2023 08:43:31, 20230503_ON_08, Total,2599,2,8.99E+06, , ,7.1, PBMC, , VisionLB-004-1099, 
 , , F1,2426, ,8.39E+06, Viability,93.30%,6.9, , PBMC (AO), , 
 , , F2,173, ,6.04E+05, , ,9.8, , PBMC  (PI), , 
 , , , , , , , , , , , , 
